Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
1036,Mozambique Civil War Ends,4,October,1992,Mozambique,Peace Agreement,"Rome, Italy","End of a devastating civil war, leading to peace and reconstruction.",Mozambicans,"Joaquim Chissano, RENAMO",Positive,
1037,End of Apartheid,27,April,1994,South Africa,General Elections,South Africa,"First democratic elections open to all races, Nelson Mandela elected.",South Africans,"Nelson Mandela, ANC",Positive,"The apartheid system in South Africa was ended through a series of bilateral and multi-party negotiations between 1990 and 1993. The negotiations culminated in the passage of a new interim Constitution in 1993, a precursor to the Constitution of 1996; and in South Africa's first non-racial elections in 1994, won by the African National Congress (ANC) liberation movement."
1038,Eritrean Independence Referendum,23-25,April,1993,Ethiopia,Referendum,Eritrea,Eritreans vote for independence from Ethiopia.,Eritreans,"EPLF, UN",Positive,
1039,Namibian Independence,21,March,1990,Namibia,Independence,Namibia,Independence from South African rule.,Namibians,"Sam Nujoma, UN",Positive,
1040,Land Reform Program Begins,-,-,2000,Zimbabwe,Land Reform,Zimbabwe,Controversial redistribution of land from white to black Zimbabweans.,Zimbabweans,Robert Mugabe,Mixed,
1041,Algerian Civil War Ends,-,-,2002,Algeria,Peace Agreement,Algeria,End of a decade-long civil war.,Algerians,Algerian Government,Positive,
1042,End of Sierra Leone Civil War,18,January,2002,Sierra Leone,Peace Agreement,Sierra Leone,"Marked the end of the civil war, beginning of peacebuilding efforts.",Sierra Leoneans,"Government of Sierra Leone, RUF, UN",Positive,
1043,Gacaca Courts Initiated,-,-,2001,Rwanda,Justice System,Rwanda,"Community courts to address the genocide, promoting reconciliation and justice.",Rwandans,Rwandan Government,Mixed,
1044,Joseph Kony Insurgency Declines,-,-,2011,Uganda,Military,Northern Uganda,"Significant decline in LRA activities, improvement in regional security.",Ugandans,"Ugandan Military, International Efforts",Positive,
1045,Fall of Gaddafi,20,October,2011,Libya,Revolution,"Sirte, Libya","Marked the end of Muammar Gaddafi's 42-year rule, leading to a period of instability.",Libyans,"NATO, Libyan Rebels",Mixed,
1046,Egyptian Revolution of 2011,25,January,2011,Egypt,Revolution,"Cairo, Egypt",Led to the overthrow of President Hosni Mubarak.,Egyptians,"Egyptian protestors, military",Mixed,"The 2011 Egyptian revolution, also known as the 25 January Revolution, began on 25 January 2011 and spread across Egypt. The date was set by various youth groups to coincide with the annual Egyptian ""Police holiday"" as a statement against increasing police brutality during the last few years of Hosni Mubarak's presidency. It consisted of demonstrations, marches, occupations of plazas, non-violent civil resistance, acts of civil disobedience and strikes."
1047,Coup d'état,22,March,2012,Mali,Coup,"Bamako, Mali","Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative,"A coup d'état, or simply a coup, is typically an illegal and overt attempt by a military organization or other government elites to unseat an incumbent leadership. A self-coup is said to take place when a leader, having come to power through legal means, tries to stay in power through illegal means."
1048,Seleka Rebellion Begins,-,December,2012,Central African Republic,Rebellion,Central African Republic,"Sparked a civil war, leading to ongoing conflict and humanitarian crisis.",Central Africans,Seleka coalition,Negative,
1049,Boko Haram Insurgency Intensifies,-,-,2009,Nigeria,Insurgency,Northeast Nigeria,"Led to thousands of deaths and displacement, challenging national security.",Nigerians,Boko Haram,Negative,
1050,Independence from Sudan,9,July,2011,South Sudan,Independence,South Sudan,"Became the newest country in the world, following a referendum.",South Sudanese,"SPLM, International Community",Positive,
1051,Fall of Blaise Compaoré,31,October,2014,Burkina Faso,Revolution,"Ouagadougou, Burkina Faso","Ended Blaise Compaoré's 27-year rule, sparked by mass protests.",Burkinabè,Burkinabè protestors,Positive,
1052,Coup d'état Leads to Mugabe's Resignation,21,November,2017,Zimbabwe,Coup,"Harare, Zimbabwe","Ended Robert Mugabe's 37-year rule, Emmerson Mnangagwa became president.",Zimbabweans,"Zimbabwean Military, Emmerson Mnangagwa",Mixed,
1053,Appointment of Abiy Ahmed,2,April,2018,Ethiopia,Political,Ethiopia,Led to significant political reforms and a peace agreement with Eritrea.,Ethiopians,Abiy Ahmed,Positive,
1054,Sudanese Revolution,19,December,2018,Sudan,Revolution,Sudan,"Overthrow of President Omar al-Bashir, leading to transitional government.",Sudanese,"Sudanese protestors, military",Positive,"The Sudanese revolution was a major shift of political power in Sudan that started with street protests throughout Sudan on 19 December 2018 and continued with sustained civil disobedience for about eight months, during which the 2019 Sudanese coup d'état deposed President Omar al-Bashir on 11 April after thirty years in power, 3 June Khartoum massacre took place under the leadership of the Transitional Military Council (TMC) that replaced al-Bashir, and in July and August 2019 the TMC and the Forces of Freedom and Change alliance (FFC) signed a Political Agreement and a Draft Constitutional Declaration legally defining a planned 39-month phase of transitional state institutions and procedures to return Sudan to a civilian democracy."
1055,Hirak Protest Movement,22,February,2019,Algeria,Protest Movement,Algeria,Led to the resignation of President Abdelaziz Bouteflika after 20 years in power.,Algerians,Algerian protestors,Positive,
1056,Abolition of Slavery Enforced,-,-,1981,Mauritania,Legal,Mauritania,"Criminalization of slavery, though challenges in enforcement remain.",Mauritanians,Mauritanian Government,Mixed,
1057,Operation Carlota Ends,-,-,1989,Angola,Military Withdrawal,Angola,"Cuban military withdrawal, pivotal in ending South African apartheid.","Angolans, Cubans",Cuban Government,Positive,
1058,Nairobi's DusitD2 Complex Attack,15,January,2019,Kenya,Terrorism,"Nairobi, Kenya",Highlighted the ongoing threat of terrorism in East Africa.,Kenyans,Al-Shabaab,Negative,
1059,Cyclone Idai,14,March,2019,Mozambique,Natural Disaster,"Mozambique, Zimbabwe, Malawi","One of the worst tropical cyclones on record in Africa, causing widespread destruction.","Mozambicans, Zimbabweans, Malawians",Climate,Negative,"Intense Tropical Cyclone Idai was one of the worst tropical cyclones on record to affect Africa and the Southern Hemisphere. The long-lived storm caused catastrophic damage, and a humanitarian crisis in Mozambique, Zimbabwe, and Malawi, leaving more than 1,500 people dead and many more missing. Idai is the deadliest tropical cyclone recorded in the South-West Indian Ocean basin."
1060,Tigray Conflict Begins,4,November,2020,Ethiopia,Conflict,"Tigray, Ethiopia","Conflict between Ethiopian government forces and TPLF, leading to humanitarian crisis.",Ethiopians,"Ethiopian Government, TPLF",Negative,
1061,#EndSARS Protests,8,October,2020,Nigeria,Protest Movement,Nigeria,Nationwide protests against police brutality and corruption.,Nigerians,"Nigerian Youth, Various Activists",Mixed,
1062,Juba Peace Agreement,3,October,2020,Sudan,Peace Agreement,"Juba, South Sudan","Aimed at ending conflicts in Darfur, South Kordofan, and Blue Nile states.",Sudanese,"Sudanese Transitional Government, Rebel Groups",Positive,"Signed on October 3, 2020, the Juba Peace Agreement is a landmark concord between Sudan's transitional government and a handful of the country's rebel groups. Since Sudan gained its independence in 1956, the nation has been plagued by various civil wars and internal conflicts—namely the Darfur War (2003–2020). Nearly 400,000 people died in the crisis and over 2.5 million were displaced due to the fighting between rebel groups within the region, which heavily prompted the implementation of peace-building legislation after nearly two decades of bloodshed."
1063,2021 General Elections,14,January,2021,Uganda,Election,Uganda,"Marked by allegations of fraud and violence, Yoweri Museveni re-elected.",Ugandans,"Yoweri Museveni, Bobi Wine",Mixed,
1064,Death of President Idriss Déby,20,April,2021,Chad,Military,Chad,"Died from injuries sustained in clashes with rebels, leading to political uncertainty.",Chadians,"Idriss Déby, FACT Rebels",Negative,
1065,Discovery by Portugal,22,April,1500,Brazil,Discovery,Coast of present-day Brazil,Beginning of Portuguese colonization,Indigenous peoples,Pedro Álvares Cabral,Mixed,
1066,Independence from Portugal,7,September,1822,Brazil,Independence,São Paulo,Transition to Empire of Brazil,Brazilian population,Dom Pedro I,Positive,
1067,Abolition of Slavery,13,May,1888,Brazil,Legal,Brazil,End of slavery in Brazil,Slaves in Brazil,Princess Isabel,Positive,"Abolitionism, or the abolitionist movement, is the political movement to end slavery and liberate enslaved individuals around the world."
1068,Proclamation of the Republic,15,November,1889,Brazil,Political,Rio de Janeiro,End of the Brazilian Empire and the start of the Republic,Brazilian population,Marshal Deodoro da Fonseca,Positive,"Proclamation of the Republic may refer to:Proclamation of the Irish Republic, issued during the Easter Rising of 1916
Proclamation of the Republic (Brazil), celebrated by a public holiday on November 15

."
1069,Vargas Era Begins,3,November,1930,Brazil,Political,Brazil,Start of Getúlio Vargas' rule,Brazilian population,Getúlio Vargas,Mixed,
1070,Military Coup,31,March,1964,Brazil,Military Coup,Brazil,Beginning of military dictatorship lasting until 1985,Brazilian population,Military leaders,Negative,
1071,Direct Elections Now Campaign,-,-,1984,Brazil,Political Movement,Brazil,Nationwide protests for direct presidential elections,Brazilian population,Civil society groups,Positive,
1072,Real Plan Implementation,1,July,1994,Brazil,Economic,Brazil,Stabilization of Brazilian economy and introduction of the Real (R$),Brazilian economy,Itamar Franco,Positive,
1073,Lula da Silva's Presidency,1,January,2003,Brazil,Political,Brazil,First working-class president,Brazilian population,Luiz Inácio Lula da Silva,Positive,
1074,FIFA World Cup Victory,30,June,2002,Brazil,Sports,Sweden,Brazil wins its first FIFA World Cup boosting national pride,Brazilian population,Football team,Positive,
1075,Construction of Brasília,21,April,1960,Brazil,Urban Development,Brasília,Creation of a new capital aiming at interior development and national integration,Brazilian population,Juscelino Kubitschek,Mixed,"Brasília, the capital city of Brazil located in the nation’s Federal District, has a history beginning in the colonial era and interactions with the native inhabitants of the area. The first propositions of relocating Brazil's capital began in the late 18th century, and after various plans and attempts at settlement, the city was inaugurated on 21 April 1960 following a four year construction period. Since its inauguration, the city has faced economic, social and political challenges and has seen vast population growth and spreading urbanisation."
